client_timestamp,x,y,button,state,window
1570428599.206,2417,-16,None,Move,development
1570428599.221,2164,-103,None,Move,development
1570428599.244,1918,13,None,Move,development
1570428599.252,1710,98,None,Move,development
1570428599.26,1458,234,None,Move,development
1570428599.268,1173,407,None,Move,development
1570428599.2770002,829,612,None,Move,development
1570428602.006,453,854,None,Move,development
1570428602.008,-4231,3626,None,Move,development
1570428602.0089998,4139,-220,None,Move,development
1570428602.01,5721,-1515,None,Move,development
1570428602.0110002,-4141,2261,None,Move,development
1570428602.012,1906,260,None,Move,development
1570428602.0129998,1807,459,None,Move,development
1570428602.014,1808,511,None,Move,development
1570428603.687,1808,511,None,Move,development
1570428603.697,1810,505,None,Move,development
1570428603.708,1810,489,None,Move,development
1570428603.725,1810,456,None,Move,development
1570428603.726,1810,419,None,Move,development
1570428603.74,1808,385,None,Move,development
1570428603.748,1795,331,None,Move,development
1570428603.772,1788,320,None,Move,development
1570428603.7729998,1782,311,None,Move,development
1570428604.2770002,1776,311,None,Move,development
1570428605.0010002,1509,319,None,Move,development
1570428605.014,1452,303,None,Move,development
1570428605.015,1343,237,None,Move,development
1570428605.016,1095,58,None,Move,development
1570428605.018,1019,19,None,Move,development
1570428605.019,502,56,None,Move,development
1570428605.02,414,69,None,Move,development
1570428605.028,321,83,None,Move,development
1570428605.036,233,96,None,Move,development
1570428605.044,146,105,None,Move,development
1570428605.052,69,113,None,Move,development
1570428605.06,-8,122,None,Move,development
1570428605.0679998,-63,126,None,Move,development
1570428605.075,-51,126,None,Move,development
1570428605.091,-52,126,None,Move,development
1570428605.106,-41,126,None,Move,development
1570428605.1220002,-12,124,None,Move,development
1570428605.217,10,121,None,Move,development
1570428605.2329998,25,118,None,Move,development
1570428605.2489998,78,107,None,Move,development
1570428605.264,112,90,None,Move,development
1570428605.271,122,84,None,Move,development
1570428605.286,134,74,None,Move,development
1570428605.302,148,58,None,Move,development
1570428605.3170002,164,35,None,Move,development
1570428605.333,185,-8,None,Move,development
1570428605.349,197,-26,None,Move,development
1570428605.3639998,206,-17,None,Move,development
1570428605.371,208,-15,None,Move,development
1570428605.387,211,-14,None,Move,development
1570428605.4020002,213,-12,None,Move,development
1570428605.418,213,-8,None,Move,development
1570428605.434,213,-3,None,Move,development
1570428605.449,213,-1,None,Move,development
1570428605.518,214,-1,None,Move,development
1570428605.534,242,46,None,Move,development
1570428605.55,283,138,None,Move,development
1570428605.572,320,247,None,Move,development
1570428605.587,337,353,None,Move,development
1570428605.603,354,472,None,Move,development
1570428605.619,363,582,None,Move,development
1570428605.6339998,363,677,None,Move,development
1570428605.65,363,748,None,Move,development
1570428605.665,363,797,None,Move,development
1570428605.6720002,365,817,None,Move,development
1570428605.688,368,834,None,Move,development
1570428605.75,369,836,None,Move,development
1570428605.772,369,832,None,Move,development
1570428605.788,371,822,None,Move,development
1570428605.804,373,809,None,Move,development
1570428605.819,375,797,None,Move,development
1570428605.835,377,785,None,Move,development
1570428605.85,378,781,None,Move,development
1570428605.8660002,382,779,None,Move,development
1570428605.873,387,777,None,Move,development
1570428605.8879998,399,773,None,Move,development
1570428605.904,408,770,None,Move,development
1570428605.919,415,764,None,Move,development
1570428605.935,418,760,None,Move,development
1570428605.951,420,755,None,Move,development
1570428605.9729998,423,750,None,Move,development
1570428605.988,427,741,None,Move,development
1570428606.004,428,732,None,Move,development
1570428606.02,430,723,None,Move,development
1570428606.035,431,709,None,Move,development
1570428606.051,434,702,None,Move,development
1570428606.0670002,435,695,None,Move,development
1570428606.073,436,691,None,Move,development
1570428606.089,437,688,None,Move,development
1570428606.104,437,683,None,Move,development
1570428606.521,437,674,None,Move,development
1570428606.5370002,437,658,None,Move,development
1570428606.552,421,598,None,Move,development
1570428606.5679998,406,546,None,Move,development
1570428606.574,392,513,None,Move,development
1570428606.59,378,449,None,Move,development
1570428606.606,364,374,None,Move,development
1570428606.621,354,317,None,Move,development
1570428606.637,351,294,None,Move,development
1570428606.653,341,265,None,Move,development
1570428606.668,340,257,None,Move,development
1570428606.9220002,343,256,None,Move,development
1570428606.938,346,256,None,Move,development
1570428606.9529998,348,256,None,Move,development
1570428607.3920002,349,256,None,Move,development
1570428607.408,349,255,None,Move,development
1570428607.423,349,253,None,Move,development
1570428607.809,349,253,Left,Pressed,development
1570428607.972,349,253,Left,Released,office
1570428608.194,353,253,None,Move,office
1570428608.21,393,270,None,Move,office
1570428608.225,470,299,None,Move,office
1570428608.2410002,548,329,None,Move,office
1570428608.2570002,621,350,None,Move,office
1570428608.272,694,372,None,Move,office
1570428608.279,725,384,None,Move,office
1570428608.294,782,409,None,Move,office
1570428608.31,831,433,None,Move,office
1570428608.326,861,452,None,Move,office
1570428608.341,878,465,None,Move,office
1570428608.357,886,472,None,Move,office
1570428608.373,887,474,None,Move,office
1570428608.379,889,475,None,Move,office
1570428608.4420002,891,478,None,Move,office
1570428608.457,892,480,None,Move,office
1570428608.4729998,897,484,None,Move,office
1570428608.479,901,485,None,Move,office
1570428608.495,904,486,None,Move,office
1570428608.5110002,905,487,None,Move,office
1570428608.542,906,488,None,Move,office
1570428608.5570002,912,494,None,Move,office
1570428608.58,921,505,None,Move,office
1570428608.595,934,525,None,Move,office
1570428608.611,962,558,None,Move,office
1570428608.627,1006,598,None,Move,office
1570428608.6420002,1050,633,None,Move,office
1570428608.658,1065,645,None,Move,office
1570428608.673,1075,660,None,Move,office
1570428608.68,1075,662,None,Move,office
1570428608.696,1075,663,None,Move,office
1570428608.7270002,1074,664,None,Move,office
1570428608.742,1071,665,None,Move,office
1570428608.758,1068,666,None,Move,office
1570428608.78,1068,667,None,Move,office
1570428608.796,1066,668,None,Move,office
1570428608.811,1065,669,None,Move,office
1570428609.816,1064,669,None,Move,office
1570428609.825,1049,671,None,Move,office
1570428609.835,1022,679,None,Move,office
1570428609.846,933,703,None,Move,office
1570428609.855,875,722,None,Move,office
1570428609.8660002,822,736,None,Move,office
1570428609.8760002,767,752,None,Move,office
1570428609.895,668,796,None,Move,office
1570428609.906,608,834,None,Move,office
1570428609.917,597,843,None,Move,office
1570428609.931,584,854,None,Move,office
1570428609.981,584,854,None,Move,office
1570428609.986,589,850,None,Move,office
1570428609.996,601,843,None,Move,office
1570428610.01,613,833,None,Move,office
1570428610.0170002,620,826,None,Move,office
1570428610.025,626,813,None,Move,office
1570428610.036,633,802,None,Move,office
1570428610.045,651,773,None,Move,office
1570428610.056,662,757,None,Move,office
1570428610.066,670,741,None,Move,office
1570428610.075,678,726,None,Move,office
1570428610.085,698,698,None,Move,office
1570428610.096,708,686,None,Move,office
1570428610.117,718,676,None,Move,office
1570428610.125,790,653,None,Move,office
1570428610.1360002,823,653,None,Move,office
1570428610.146,850,653,None,Move,office
1570428610.155,877,653,None,Move,office
1570428610.166,916,653,None,Move,office
1570428610.176,926,653,None,Move,office
1570428610.186,934,653,None,Move,office
1570428610.196,936,653,None,Move,office
1570428611.8479998,934,653,None,Move,office
